IR,10,
AF,9.233,
NG,9.213,
PK,9.065,
SY,8.108,
IN,7.747,
YE,7.642,
SO,7.6,
LY,7.29,
TH,7.279,
PH,7.27,
UA,7.2,
EG,6.813,
CF,6.721,
SS,6.712,
CO,6.662,
SD,6.686,
KE,6.66,
CM,6.466,
LB,6.376,
CN,6.294,
RU,6.207,
IS,6.034,
BD,5.921,
ML,5.871,
TR,5.737,
GB,5.613,
GR,4.976,
UG,4.894,
BH,4.871,
NP,4.791,
IN,4.755,
DZ,4.75,
US,4.613,
FR,4.553,
MZ,4.386,
SA,4.231,
