1,1,Directed,0,FR/FR,,61076
2,5,Directed,1,TR/DE,,14
3,1,Directed,2,GB/FR,,27698
4,1,Directed,3,US/FR,,54244
5,1,Directed,5,DE/FR,,10369
6,1,Directed,6,PL/FR,,354
7,1,Directed,7,EG/FR,,401
8,1,Directed,8,ES/FR,,12074
2,1,Directed,9,TR/FR,,3050
10,1,Directed,12,BR/FR,,2601
11,1,Directed,13,BE/FR,,1502
12,1,Directed,14,MX/FR,,1053
13,1,Directed,15,VE/FR,,721
14,1,Directed,16,IT/FR,,4146
15,1,Directed,17,PH/FR,,217
16,1,Directed,19,NL/FR,,2420
17,1,Directed,20,CA/FR,,1391
5,12,Directed,21,DE/MX,,63
14,4,Directed,22,IT/US,,119
9,1,Directed,25,CO/FR,,401
4,3,Directed,27,US/GB,,92
18,1,Directed,28,RU/FR,,111
20,1,Directed,31,AR/FR,,2478
21,1,Directed,32,AU/FR,,839
16,27,Directed,33,NL/ID,,3
19,1,Directed,35,IE/FR,,1698
22,1,Directed,38,ZA/FR,,635
23,1,Directed,39,IN/FR,,98
4,12,Directed,40,US/MX,,926
8,12,Directed,41,ES/MX,,1052
24,7,Directed,43,PT/EG,,2
1,14,Directed,45,FR/IT,,92
24,1,Directed,46,PT/FR,,306
4,4,Directed,47,US/US,,346
8,15,Directed,48,ES/PH,,20
22,4,Directed,49,ZA/US,,2
17,23,Directed,50,CA/IN,,3
3,12,Directed,55,GB/MX,,645
4,5,Directed,56,US/DE,,134
1,4,Directed,59,FR/US,,84
8,14,Directed,60,ES/IT,,154
20,12,Directed,61,AR/MX,,130
1,5,Directed,63,FR/DE,,17
3,3,Directed,65,GB/GB,,129
2,12,Directed,68,TR/MX,,18
14,14,Directed,69,IT/IT,,290
8,13,Directed,71,ES/VE,,26
17,12,Directed,72,CA/MX,,14
20,10,Directed,73,AR/BR,,3
20,8,Directed,74,AR/ES,,5
16,14,Directed,75,NL/IT,,36
7,12,Directed,76,EG/MX,,2
22,3,Directed,77,ZA/GB,,2
25,1,Directed,78,AE/FR,,12
1,15,Directed,80,FR/PH,,615
14,12,Directed,85,IT/MX,,35
10,7,Directed,87,BR/EG,,3
5,5,Directed,88,DE/DE,,153
16,28,Directed,89,NL/JP,,1
26,1,Directed,92,SA/FR,,151
8,8,Directed,93,ES/ES,,107
14,21,Directed,94,IT/AU,,20
19,12,Directed,95,IE/MX,,37
5,14,Directed,96,DE/IT,,48
1,23,Directed,98,FR/IN,,242
16,12,Directed,99,NL/MX,,94
5,4,Directed,100,DE/US,,34
8,4,Directed,102,ES/US,,46
10,12,Directed,104,BR/MX,,46
1,12,Directed,107,FR/MX,,191
20,5,Directed,108,AR/DE,,6
22,12,Directed,112,ZA/MX,,18
8,20,Directed,113,ES/AR,,16
8,31,Directed,116,ES/UY,,5
27,1,Directed,125,ID/FR,,180
28,1,Directed,126,JP/FR,,83
3,4,Directed,127,GB/US,,38
1,17,Directed,128,FR/CA,,302
12,12,Directed,130,MX/MX,,67
3,5,Directed,131,GB/DE,,80
4,10,Directed,133,US/BR,,7
13,12,Directed,135,VE/MX,,56
3,14,Directed,136,GB/IT,,18
6,12,Directed,137,PL/MX,,1
8,9,Directed,138,ES/CO,,31
14,23,Directed,139,IT/IN,,2
2,23,Directed,140,TR/IN,,18
1,11,Directed,144,FR/BE,,36
9,9,Directed,148,CO/CO,,10
2,2,Directed,149,TR/TR,,38
4,7,Directed,151,US/EG,,3
13,14,Directed,155,VE/IT,,6
16,4,Directed,156,NL/US,,6
14,2,Directed,158,IT/TR,,1
1,28,Directed,161,FR/JP,,1
12,9,Directed,166,MX/CO,,4
2,14,Directed,168,TR/IT,,2
29,1,Directed,169,KW/FR,,3
12,14,Directed,171,MX/IT,,12
24,23,Directed,173,PT/IN,,1
19,14,Directed,175,IE/IT,,4
3,10,Directed,177,GB/BR,,1
14,18,Directed,180,IT/RU,,11
20,9,Directed,185,AR/CO,,8
21,3,Directed,188,AU/GB,,4
9,12,Directed,191,CO/MX,,31
8,7,Directed,193,ES/EG,,9
10,10,Directed,194,BR/BR,,2
14,24,Directed,195,IT/PT,,5
14,7,Directed,196,IT/EG,,11
6,25,Directed,202,PL/AE,,2
15,14,Directed,205,PH/IT,,2
20,7,Directed,206,AR/EG,,3
4,18,Directed,207,US/RU,,20
4,14,Directed,208,US/IT,,24
3,18,Directed,209,GB/RU,,5
10,24,Directed,210,BR/PT,,1
30,1,Directed,213,TH/FR,,9
8,5,Directed,215,ES/DE,,30
5,15,Directed,217,DE/PH,,2
14,10,Directed,219,IT/BR,,2
1,18,Directed,220,FR/RU,,6
16,3,Directed,221,NL/GB,,2
4,23,Directed,222,US/IN,,52
20,4,Directed,224,AR/US,,7
12,4,Directed,226,MX/US,,10
24,10,Directed,231,PT/BR,,1
2,9,Directed,232,TR/CO,,6
3,15,Directed,234,GB/PH,,2
11,5,Directed,236,BE/DE,,6
19,23,Directed,237,IE/IN,,1
11,15,Directed,239,BE/PH,,2
2,27,Directed,240,TR/ID,,6
5,19,Directed,241,DE/IE,,15
4,11,Directed,243,US/BE,,2
10,15,Directed,244,BR/PH,,1
19,3,Directed,245,IE/GB,,5
