Source,Target,Type,Id,Label,Weight
16,16,Directed,313,NL/NL,0.03861541014113676
2,16,Directed,314,TR/NL,0.1399399448038488
3,8,Directed,315,GB/ES,0.046716567858587396
8,3,Directed,318,ES/GB,0.04130673116199011
9,20,Directed,321,CO/AR,0.4227564572183337
23,3,Directed,323,IN/GB,0.3644863102157271
9,4,Directed,324,CO/US,0.4227564572183337
5,18,Directed,325,DE/RU,0.037931194623696714
11,12,Directed,327,BE/MX,0.027865273080576014
19,5,Directed,329,IE/DE,0.053062770512455774
1,27,Directed,335,FR/ID,0
14,8,Directed,337,IT/ES,0.04653150423284304
8,23,Directed,340,ES/IN,0.04130673116199011
23,23,Directed,341,IN/IN,0.3644863102157271
12,18,Directed,344,MX/RU,0.46073934168239233
11,21,Directed,346,BE/AU,0.027865273080576014
16,22,Directed,347,NL/ZA,0.03861541014113676
4,9,Directed,349,US/CO,0.3849052968639014
22,23,Directed,352,ZA/IN,0.4297923743088296
4,8,Directed,353,US/ES,0.3849052968639014
20,13,Directed,355,AR/VE,0.5529198236086698
11,14,Directed,357,BE/IT,0.027865273080576014
1,6,Directed,360,FR/PL,0
23,4,Directed,362,IN/US,0.3644863102157271
20,31,Directed,365,AR/UY,0.5529198236086698
4,13,Directed,366,US/VE,0.3849052968639014
8,17,Directed,368,ES/CA,0.04130673116199011
12,13,Directed,374,MX/VE,0.46073934168239233
21,4,Directed,380,AU/US,0.7620257738341529
16,23,Directed,382,NL/IN,0.03861541014113676
24,3,Directed,384,PT/GB,0.05449428914746807
2,4,Directed,385,TR/US,0.1399399448038488
19,18,Directed,388,IE/RU,0.053062770512455774
4,26,Directed,389,US/SA,0.3849052968639014
2,18,Directed,391,TR/RU,0.1399399448038488
4,16,Directed,392,US/NL,0.3849052968639014
3,7,Directed,395,GB/EG,0.046716567858587396
2,7,Directed,396,TR/EG,0.1399399448038488
27,4,Directed,398,ID/US,0.6272868067781278
13,4,Directed,400,VE/US,0.38384075609938867
19,15,Directed,401,IE/PH,0.053062770512455774
24,14,Directed,415,PT/IT,0.05449428914746807
17,3,Directed,423,CA/GB,0.30389951854962904
11,23,Directed,424,BE/IN,0.027865273080576014
14,26,Directed,425,IT/SA,0.04653150423284304
24,12,Directed,426,PT/MX,0.05449428914746807
4,15,Directed,431,US/PH,0.3849052968639014
12,10,Directed,433,MX/BR,0.46073934168239233
17,15,Directed,436,CA/PH,0.30389951854962904
1,24,Directed,438,FR/PT,0
8,16,Directed,440,ES/NL,0.04130673116199011
6,6,Directed,441,PL/PL,0.07353714627389986
5,22,Directed,442,DE/ZA,0.037931194623696714
21,12,Directed,443,AU/MX,0.7620257738341529
3,17,Directed,445,GB/CA,0.046716567858587396
3,16,Directed,447,GB/NL,0.046716567858587396
1,8,Directed,454,FR/ES,0
4,2,Directed,457,US/TR,0.3849052968639014
11,11,Directed,459,BE/BE,0.027865273080576014
9,8,Directed,460,CO/ES,0.4227564572183337
14,9,Directed,466,IT/CO,0.04653150423284304
10,4,Directed,471,BR/US,0.41994391002448467
12,7,Directed,473,MX/EG,0.46073934168239233
12,5,Directed,475,MX/DE,0.46073934168239233
11,16,Directed,476,BE/NL,0.027865273080576014
17,2,Directed,477,CA/TR,0.30389951854962904
4,21,Directed,481,US/AU,0.3849052968639014
20,17,Directed,482,AR/CA,0.5529198236086698
11,27,Directed,484,BE/ID,0.027865273080576014
3,19,Directed,485,GB/IE,0.046716567858587396
8,2,Directed,490,ES/TR,0.04130673116199011
10,14,Directed,491,BR/IT,0.41994391002448467
2,26,Directed,492,TR/SA,0.1399399448038488
10,5,Directed,493,BR/DE,0.41994391002448467
14,5,Directed,494,IT/DE,0.04653150423284304
21,5,Directed,495,AU/DE,0.7620257738341529
12,23,Directed,497,MX/IN,0.46073934168239233
1,16,Directed,501,FR/NL,0
14,27,Directed,502,IT/ID,0.04653150423284304
4,25,Directed,504,US/AE,0.3849052968639014
6,23,Directed,505,PL/IN,0.07353714627389986
17,5,Directed,512,CA/DE,0.30389951854962904
3,22,Directed,514,GB/ZA,0.046716567858587396
21,21,Directed,517,AU/AU,0.7620257738341529
22,5,Directed,519,ZA/DE,0.4297923743088296
10,28,Directed,520,BR/JP,0.41994391002448467
