Source,Target,Type,id,label,timeset,weight
34,74,Directed,578,TH/CO,,3.0
7,115,Directed,579,MY/EE,,3.0
12,131,Directed,580,US/LK,,1.0
47,79,Directed,581,IT/NZ,,1.0
34,123,Directed,582,TH/TR,,1.0
7,79,Directed,583,MY/NZ,,1.0
32,123,Directed,584,RU/TR,,1.0
34,39,Directed,585,TH/KR,,2.0
12,132,Directed,586,US/KI,,1.0
7,69,Directed,587,MY/PL,,1.0
7,109,Directed,588,MY/SE,,2.0
12,133,Directed,590,US/PG,,2.0
12,6,Directed,591,US/NL,,3.0
43,44,Directed,592,PT/BR,,1.0
7,107,Directed,593,MY/EG,,2.0
15,115,Directed,594,ID/EE,,1.0
123,107,Directed,595,TR/EG,,6.0
44,107,Directed,596,BR/EG,,4.0
15,107,Directed,597,ID/EG,,3.0
42,62,Directed,599,AU/IN,,1.0
69,107,Directed,600,PL/EG,,1.0
123,82,Directed,601,TR/CU,,1.0
42,47,Directed,602,AU/IT,,1.0
49,46,Directed,604,JP/TT,,1.0
51,42,Directed,605,NG/AU,,1.0
72,109,Directed,606,MX/SE,,1.0
63,46,Directed,607,ES/TT,,1.0
12,137,Directed,608,US/BL,,2.0
49,128,Directed,609,JP/UA,,1.0
77,41,Directed,610,VE/HU,,1.0
49,34,Directed,611,JP/TH,,1.0
123,134,Directed,612,TR/TN,,1.0
43,109,Directed,613,PT/SE,,1.0
7,41,Directed,614,MY/HU,,1.0
123,138,Directed,615,TR/BI,,1.0
49,52,Directed,616,JP/KG,,1.0
45,12,Directed,617,SG/US,,1.0
62,98,Directed,618,IN/ET,,2.0
123,34,Directed,619,TR/TH,,1.0
42,133,Directed,620,AU/PG,,2.0
40,107,Directed,621,AR/EG,,1.0
72,62,Directed,622,MX/IN,,1.0
34,62,Directed,623,TH/IN,,1.0
15,121,Directed,624,ID/KP,,1.0
47,109,Directed,625,IT/SE,,1.0
123,109,Directed,626,TR/SE,,1.0
43,12,Directed,627,PT/US,,1.0
20,62,Directed,628,SA/IN,,2.0
34,87,Directed,629,TH/GB,,1.0
49,77,Directed,630,JP/VE,,1.0
87,135,Directed,631,GB/BE,,1.0
77,62,Directed,632,VE/IN,,1.0
42,39,Directed,633,AU/KR,,1.0
31,106,Directed,634,FR/GH,,1.0
31,139,Directed,635,FR/CI,,1.0
40,34,Directed,636,AR/TH,,1.0
87,75,Directed,637,GB/UG,,1.0
31,140,Directed,638,FR/CY,,1.0
47,141,Directed,639,IT/ME,,1.0
